date,code,company,market,category,level,score,matched,numbers,attention,title,url,announcementId,hasText,textChars
2026-06-26,603139,康惠股份,SH,激励回购,中,59,限制性股票、授予,,股权激励综合服务、员工账户、行权资金和股份支付影响。,康惠股份董事会薪酬与考核委员会关于公司2026年限制性股票激励计划调整及授予相关事项的核查意见,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388850.PDF,1225388850,是,1464
2026-06-26,920564,天润科技,BJ,会议固定,低,41,股东会,"25日、76,980,275股、71.9950%",通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2026年第二次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225391197.PDF,1225391197,是,1136
2026-06-27,001231,农心科技,SZ,会议固定,低,37,股东会,27日、26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,农心作物科技股份有限公司2025年年度股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392100.PDF,1225392100,是,4996
2026-06-27,688167,炬光科技,SH,会议固定,低,37,股东会,"26日、130,138,971股",通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,西安炬光科技股份有限公司2026年第二次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225390870.PDF,1225390870,是,1549
2026-06-27,001231,农心科技,SZ,会议固定,低,33,股东会、法律意见书,26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,上海市锦天城律师事务所关于农心作物科技股份有限公司2025年年度股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392101.PDF,1225392101,是,5997
2026-06-26,300831,派瑞股份,SZ,会议固定,低,33,股东会,26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2025年度股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392653.PDF,1225392653,是,6151
2026-06-26,002799,环球印务,SZ,会议固定,低,33,股东会,25日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2025年度股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388912.PDF,1225388912,是,6316
2026-06-26,002799,环球印务,SZ,会议固定,低,33,股东会,25日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,北京市天元律师事务所关于西安环球印务股份有限公司2025年度股东会的法律意见,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388913.PDF,1225388913,是,7102
2026-06-27,688150,莱特光电,SH,会议固定,低,33,保荐,31日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,陕西莱特光电材料股份有限公司关于变更持续督导保荐代表人的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392781.PDF,1225392781,是,952
2026-06-27,002673,西部证券,SZ,会议固定,低,33,股东会,26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2026年第一次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225390441.PDF,1225390441,是,1665
2026-06-27,688122,西部超导,SH,会议固定,低,33,股东会,26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2025年年度股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391144.PDF,1225391144,是,2474
2026-06-27,000563,陕国投A,SZ,会议固定,低,33,股东会,26日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,2026年第一次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392153.PDF,1225392153,是,1783
2026-06-26,688285,高铁电气,SH,会议固定,低,33,股东会,25日,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,高铁电气：2025年年度股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388632.PDF,1225388632,是,3091
2026-06-27,001231,农心科技,SZ,其他公告,低,30,,"100,610股、159,755股、合计260,365股、260,365元、26日",底稿保留，防止标题口径外的遗漏。,农心作物科技股份有限公司关于减少注册资本暨通知债权人的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392103.PDF,1225392103,是,1340
2026-06-26,300487,蓝晓科技,SZ,其他公告,低,30,,"59.38元/股、59.21元/股、3日、100元、54,606.45万元",底稿保留，防止标题口径外的遗漏。,关于 “蓝晓转02” 转股价格调整的公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392924.PDF,1225392924,是,5261
2026-06-27,000610,西安旅游,SZ,其他公告,低,30,,"8日、24日、9日、25日、5,000万元",底稿保留，防止标题口径外的遗漏。,关于关联方借款暨关联交易的进展公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392601.PDF,1225392601,是,497
2026-06-26,920564,天润科技,BJ,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,北京市中伦律师事务所关于陕西天润科技股份有限公司2026年第二次临时股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-26/1225391195.PDF,1225391195,是,0
2026-06-26,300831,派瑞股份,SZ,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,上海市锦天城律师事务所关于西安派瑞功率半导体变流技术股份有限公司2025年度股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-26/1225392654.PDF,1225392654,是,9037
2026-06-27,688167,炬光科技,SH,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,上海市锦天城（西安）律师事务所关于西安炬光科技股份有限公司2026年第二次临时股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-27/1225390890.PDF,1225390890,是,3223
2026-06-27,002673,西部证券,SZ,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,北京金诚同达（西安）律师事务所关于西部证券股份有限公司2026年第一次临时股东会之法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-27/1225390442.PDF,1225390442,是,3922
2026-06-27,688122,西部超导,SH,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,国浩律师（西安）事务所关于西部超导材料科技股份有限公司2025年年度股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391157.PDF,1225391157,是,3314
2026-06-27,000563,陕国投A,SZ,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,陕西海普睿诚律师事务所关于陕西省国际信托股份有限公司2026年第一次临时股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392154.PDF,1225392154,是,3378
2026-06-26,688285,高铁电气,SH,会议固定,低,29,股东会、法律意见书,,通常为固定披露；作为补漏底稿保留，必要时关联主公告核验。,高铁电气：2025年年度股东会法律意见书,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388630.PDF,1225388630,是,6142
2026-06-26,603139,康惠股份,SH,其他公告,低,26,,"10,000万元、0万元、25日",底稿保留，防止标题口径外的遗漏。,康惠股份关于为全资子公司提供担保的进展公告,https://static.cninfo.com.cn/finalpage/2026-06-26/1225388843.PDF,1225388843,是,3306
2026-06-27,000812,陕西金叶,SZ,其他公告,低,26,,22日、19日、40亿元,底稿保留，防止标题口径外的遗漏。,关于公司向银行等金融机构申请综合授信敞口额度及担保事项的进展公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225390363.PDF,1225390363,是,5608
2026-06-27,600984,建设机械,SH,其他公告,低,22,,26日、5%,底稿保留，防止标题口径外的遗漏。,建设机械关于收到中国证券监督管理委员会陕西监管局行政监管措施决定书的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225391242.PDF,1225391242,是,1732
2026-06-27,001231,农心科技,SZ,其他公告,低,18,,26日,底稿保留，防止标题口径外的遗漏。,农心作物科技股份有限公司关于调整公司组织架构的公告,https://static.cninfo.com.cn/finalpage/2026-06-27/1225392104.PDF,1225392104,是,556
